g    ten                fifteen            twenty             twentyfive
0.10 1.5394138637164838 1.3885250593197833 1.2451025053323439 1.2664876034067345
0.11 1.5959133949820359 1.4270636179132639 1.2661550439117646 1.2789857029308989
0.12 1.6483581466873845 1.4614138969132331 1.2828769809101903 1.2867516809109276
0.13 1.6972521451617806 1.4920966128815583 1.2958063997082649 1.2903833721396085
0.14 1.8937064630543157 1.7278420814508804 1.5642405718612848 1.2903656953994813
0.15 1.9432181546148111 1.7611989167594373 1.5815263623783746 1.2870985205570589
0.16 1.9901525292182765 1.7918524253765338 1.5959709396152881 1.2809162773369056
0.17 2.0347611313024112 1.8200704086574711 1.6078565945060079 1.2721021121876050
0.18 2.2232108571868352 1.8460818217297910 1.6174251550154271 1.2608983374903167
0.19 2.2692134200755731 1.8700841825912857 1.6248857935684140 1.2475142935668533
0.20 2.3134749205799636 1.8922492212185371 1.6304209996137946 1.5294654673302759
0.21 2.3561461379945103 2.1189398002633544 1.6341912154803471 1.5215429387019213
0.22 2.3973598188856409 2.1446003132349416 1.6363384802634837 1.5119095923194221
0.23 2.4372332849228457 2.1688773294328350 1.8901933706637577 1.5007087748972507
0.24 2.6238806237388603 2.1918902628157175 1.8970193019492838 1.4880701778887002
0.25 2.6662346131484851 2.2137475192784342 1.9026260363536638 1.4741120027818106
0.26 2.7076292124311849 2.2345480449591806 1.9071221873402355 1.4589427645553443
0.27 2.7481514188965028 2.2543825793193690 1.9106086025564215 1.4426628134623418
0.28 2.7878803618052452 2.2733346585100076 1.9131796392473372 1.4253656369610672
0.29 2.8268878024610418 2.4927260600397929 1.9149242686860948 1.4071389903224434
0.30 3.0130822198281044 2.5161003515154410 1.9159270449747048 1.3880658947733946
0.31 3.0556402313405795 2.5389818367964447 1.9162689653452132 1.3682255350060779
0.32 3.0978457346616568 2.5614561678161918 1.9160282420025938 1.3476940828099973
0.33 3.1397679323689167 2.5836074057375376 1.9152809986310251 1.3265454699734174
0.34 3.1814707063516079 2.6055185336235742 1.9141018967240866 1.5984051364223060
0.35 3.2230113802417324 2.6272717981613884 2.1656818111630098 1.5837358705393521
0.36 3.4133171221659038 2.6489487946970325 2.1709909822645246 1.5688948629468316
0.37 3.4601393608190940 2.6706301373390957 2.1764050619489250 1.5539896437529466
0.38 3.5073145767052689 2.8947414755628240 2.1820505910252903 1.5391360526754485
0.39 3.5549152239023676 2.9236338235497041 2.1880666124462618 1.5244611941858199
0.40 3.6029948682707276 2.9533025858152362 2.1946083259690115 1.5101073044790363
0.41 3.8012989486094786 2.9839222731815589 2.2018516837143922 1.4962369718175070
0.42 3.8575748274729684 3.0156794150428383 2.2099991393447382 1.4830404170118427
0.43 3.9151688495528538 3.0487648176150786 2.2192865914896469 1.4707460131956820
0.44 3.9740236967166624 3.0833499097411057 2.2299907808991950 1.4596361084946734
0.45 4.1879654722723103 3.3261748348508418 2.4938013316936347 1.4500719726950040
0.46 4.2598082873369609 3.3767240053831098 2.5204735403339553 1.4425354390649181
0.47 4.4835901519960064 3.4314468588385227 2.5523514594706151 1.4377035124432327
0.48 4.5712166275374120 3.6892180432533284 2.5913424779082170 1.7423233225587822
0.49 4.9574311703741216 3.7725271820633450 2.6394924980456578 1.7653568724082964
